name,url of google scholar,numer of publications
Vyas Sekar,https://scholar.google.com/citations?user=5V852JcAAAAJ&hl=en&oi=ao,28
Bogdan Vasilescu,https://scholar.google.com/citations?user=bcXjlqYAAAAJ&hl=en&oi=ao,21
Gregory R. Ganger,None,20
Christian Kästner,https://scholar.google.com/citations?user=PR-ZnJUAAAAJ&hl=en&oi=ao,19
Brandon Lucia,https://scholar.google.com/citations?user=a9T7i5QAAAAJ&hl=en&oi=ao,19
Lingming Zhang 0001,https://scholar.google.com/citations?user=zzbWQE4AAAAJ&hl=en&oi=ao,42
Christopher W. Fletcher,https://scholar.google.com/citations?user=QRw9-IYAAAAJ&hl=en&oi=ao,41
Tianyin Xu,https://scholar.google.com/citations?user=h5ZyE5wAAAAJ&hl=en&oi=ao,36
Josep Torrellas,https://scholar.google.com/citations?user=zdnAkgsAAAAJ&hl=en&oi=ao,35                                                                                                                                   
Gang Wang 0011,https://scholar.google.com/citations?user=-DfTtxgAAAAJ&hl=en&oi=ao,27
Nam Sung Kim,https://scholar.google.com/citations?user=iccBxJIAAAAJ&hl&hl=en&oi=ao,25
Adam Bates 0001,https://scholar.google.com/citations?user=1dVglBkAAAAJ&hl=en&oi=ao,22
Jian Huang 0006,https://scholar.google.com/citations?user=wYasaaUAAAAJ&hl=en&oi=ao,19
Ling Ren 0001,https://scholar.google.com/citations?user=0uB26_QAAAAJ&hl=en&oi=ao,19
Chao Zhang 0008,https://scholar.google.com/citations?user=YreXlgsAAAAJ&hl=en&oi=ao,39
Hai-Xin Duan,https://scholar.google.com/citations?user=yGTOi34AAAAJ&hl=en&oi=ao,38
Qi Li 0002,None,34
Yu Jiang 0001,None,28
Jiwu Shu,https://scholar.google.com/citations?user=VccUDSgAAAAJ&hl=en&oi=ao,28
Youyou Lu,https://scholar.google.com/citations?user=ZWEasbEAAAAJ&hl=en&oi=ao,21
Mingwei Xu,https://scholar.google.com/citations?user=xL6zuCMAAAAJ&hl=en&oi=ao,18
Xiangyu Zhang 0001,https://scholar.google.com/citations?user=yuB-cfoAAAAJ&hl=en&oi=ao,64
Xuehai Qian,https://scholar.google.com/citations?user=5QL8V68AAAAJ&hl=en&oi=ao,28
Dongyan Xu,https://scholar.google.com/citations?user=CQcd1cQAAAAJ&hl=en&oi=ao,28
Antonio Bianchi,https://scholar.google.com/citations?user=RMm4j1AAAAAJ&hl=en&oi=ao,20
Z. Berkay Celik,https://scholar.google.com/citations?user=g1I269gAAAAJ&hl=en&oi=ao,19
Jing (Dave) Tian,https://scholar.google.com/citations?user=xtclQ8AAAAAJ&hl=en&oi=ao,19
Onur Mutlu,https://scholar.google.com/citations?user=7XyGUGkAAAAJ&hl=en&oi=ao,64
Zhendong Su 0001,https://scholar.google.com/citations?user=RivxoIcAAAAJ&hl=en&oi=ao,40
Martin T. Vechev,https://scholar.google.com/citations?user=aZ1Rh50AAAAJ&hl=en&oi=ao,38
Kaveh Razavi,https://scholar.google.com/citations?user=bWBN3cwAAAAJ&hl=en&oi=ao,26
Srdjan Capkun,https://scholar.google.com/citations?user=VtkPBNsAAAAJ&hl=en&oi=ao,22
Adrian Perrig,https://scholar.google.com/citations?user=n-Oret4AAAAJ&hl=en&oi=ao,20
Laurent Vanbever,https://scholar.google.com/citations?user=uyCsSAEAAAAJ&hl=en&oi=ao,20
Kenneth G. Paterson,https://scholar.google.com/citations?user=NkuWcH0AAAAJ&hl=en&oi=ao,19
Xinyu Zhang 0003,https://scholar.google.com/citations?user=HQB8W_IAAAAJ&hl=en&oi=ao,25
Deian Stefan,https://scholar.google.com/citations?user=qTVj7nwAAAAJ&hl=en&oi=ao,24
Yufei Ding,https://scholar.google.com/citations?user=ZuNK2XkAAAAJ&hl=en&oi=ao,23
Alex C. Snoeren,https://scholar.google.com/citations?user=lBzZU1IAAAAJ&hl=en&oi=ao,19
Taesoo Kim,https://scholar.google.com/citations?user=06hgT8gAAAAJ&hl=en&oi=ao,38
Daniel Genkin,https://scholar.google.com/citations?user=BqkyhDEAAAAJ&hl=en&oi=ao,27
Wenke Lee,https://scholar.google.com/citations?user=nfkH5V4AAAAJ&hl=en&oi=ao,25
Moinuddin K. Qureshi,https://scholar.google.com/citations?user=EWU0STsAAAAJ&hl=en&oi=ao,20
Haibo Chen 0001,https://scholar.google.com/citations?user=qd9xSkYAAAAJ&hl=en&oi=ao,51
Binyu Zang,https://scholar.google.com/citations?user=m3noS0AAAAAJ&hl=en&oi=ao,21
Myoungsoo Jung,https://scholar.google.com/citations?user=sbWjyP4AAAAJ&hl=en&oi=ao,24
Youngjin Kwon,https://scholar.google.com/citations?user=HvcmnF8AAAAJ&hl=en&oi=ao,18
Mohammad Alizadeh,https://scholar.google.com/citations?user=6_cxCKQAAAAJ&hl=en&oi=ao,27
Daniel Sánchez 0003,https://scholar.google.com/citations?user=se0TZ2EAAAAJ&hl=en&oi=ao,21
Nickolai Zeldovich,https://scholar.google.com/citations?user=DJ6--hMAAAAJ&hl=en&oi=ao,19
Andrea C. Arpaci-Dusseau,https://scholar.google.com/citations?user=8VkvOEEAAAAJ&hl=en&oi=ao,19
Remzi H. Arpaci-Dusseau,https://scholar.google.com/citations?user=C1skWKgAAAAJ&hl=en&oi=ao,19
Michael M. Swift,https://scholar.google.com/citations?user=pqIGLH4AAAAJ&hl=en&oi=ao,19
Kang G. Shin,https://scholar.google.com/citations?user=vY7MdLYAAAAJ&hl=en&oi=ao,23
Mosharaf Chowdhury,https://scholar.google.com/citations?user=Dzh5C9EAAAAJ&hl=en&oi=ao,21
Z. Morley Mao,None,18
Xin Jin 0008,https://scholar.google.com/citations?user=NhsdGBUAAAAJ&hl=en&oi=ao,36
Tao Xie 0001,https://scholar.google.com/citations?user=DhhH9J4AAAAJ&hl=en&oi=ao,30
Xuanzhe Liu,https://scholar.google.com/citations?user=eOhSVi8AAAAJ&hl=en&oi=ao,28
Lu Zhang 0023,https://scholar.google.com/citations?user=JUnz2VcAAAAJ&hl=en&oi=ao,26
Yingfei Xiong 0001,https://scholar.google.com/citations?user=kiG3fBsAAAAJ&hl=en&oi=ao,22
Baris Kasikci,https://scholar.google.com/citations?user=y5J0h7gAAAAJ&hl=en&oi=ao,29
Arvind Krishnamurthy,https://scholar.google.com/citations?user=EnCwNycAAAAJ&hl=en&oi=ao,28
Prateek Mittal,https://scholar.google.com/citations?user=xTKD8J4AAAAJ&hl=en&oi=ao,25
Ravi Netravali,https://scholar.google.com/citations?user=4C9naMgAAAAJ&hl=en&oi=ao,22
